ratio = 5.5611551394787115, flow_size = 0.01178MB
ratio = 5.075298820019507, flow_size = 0.396953MB
ratio = 3.2391561795157813, flow_size = 0.059815MB
ratio = 2.739333869468495, flow_size = 0.485641MB
ratio = 2.377231228203609, flow_size = 0.061487MB
ratio = 2.01535026160456, flow_size = 0.160729MB
ratio = 3.3962231657186583, flow_size = 0.112923MB
ratio = 4.979986700427121, flow_size = 0.048585MB
ratio = 3.004727882182446, flow_size = 3.700997MB
ratio = 3.2641390052552404, flow_size = 0.006966MB
ratio = 3.4926814832214608, flow_size = 3.359759MB
ratio = 3.399510751371401, flow_size = 0.049619MB
ratio = 5.244019228417344, flow_size = 0.016894MB
ratio = 3.545529108266751, flow_size = 3.338258MB
ratio = 4.912425163725152, flow_size = 0.018428MB
ratio = 2.2185700518961444, flow_size = 0.003463MB
ratio = 4.837998123043194, flow_size = 0.022758MB
ratio = 3.3843468768195515, flow_size = 8.223995MB
ratio = 2.0569990990503104, flow_size = 0.036914MB
ratio = 3.428750810957872, flow_size = 0.461907MB
ratio = 2.607987604958715, flow_size = 1.580038MB
ratio = 2.6076719279659293, flow_size = 2.581997MB
ratio = 4.064829054658012, flow_size = 0.146347MB
ratio = 4.553669070433015, flow_size = 2.414079MB
ratio = 5.573636690957193, flow_size = 0.114142MB
ratio = 3.3688800956917055, flow_size = 0.028938MB
ratio = 2.961811138123187, flow_size = 1.744263MB
ratio = 3.7092730326704304, flow_size = 5.427405MB
ratio = 4.926312058278156, flow_size = 0.003539MB
ratio = 5.160229159382986, flow_size = 2.047381MB
ratio = 2.9083692080782173, flow_size = 13.316223MB
ratio = 2.2914611837584866, flow_size = 0.057465MB
ratio = 4.735282951317581, flow_size = 0.050204MB
ratio = 4.114691757752233, flow_size = 8.232362MB
ratio = 2.9728996836013675, flow_size = 0.028105MB
ratio = 3.4411557392019634, flow_size = 13.458082MB
ratio = 2.761208450636473, flow_size = 8.255326MB
ratio = 3.853765445413367, flow_size = 4.955017MB
ratio = 4.669700523841398, flow_size = 0.004795MB
ratio = 4.198283592824635, flow_size = 7.408682MB
ratio = 4.337292610415033, flow_size = 0.609195MB
ratio = 2.8236762477805417, flow_size = 9.903258MB
ratio = 4.755890101989057, flow_size = 0.033431MB
ratio = 3.333619559724591, flow_size = 0.008125MB
ratio = 4.317117936330392, flow_size = 0.751673MB
ratio = 4.553011656435673, flow_size = 0.02849MB
ratio = 3.896374220068078, flow_size = 1.207254MB
ratio = 5.200916381200396, flow_size = 0.033355MB
ratio = 4.049547835023366, flow_size = 1.711509MB
ratio = 2.855298730720048, flow_size = 0.011775MB
ratio = 2.801498138104996, flow_size = 0.373662MB
ratio = 4.412837189234269, flow_size = 4.399376MB
ratio = 3.1925252080798967, flow_size = 0.826508MB
ratio = 4.805241708424687, flow_size = 0.060437MB
ratio = 3.361045966113685, flow_size = 0.063373MB
ratio = 3.5711892186856677, flow_size = 0.032647MB
ratio = 5.5697405267641305, flow_size = 0.007004MB
ratio = 3.9919411075878584, flow_size = 0.614767MB
ratio = 3.047880133817074, flow_size = 0.077545MB
ratio = 4.364644258185865, flow_size = 0.656866MB
ratio = 3.0186963963799918, flow_size = 1.02386MB
ratio = 5.3129372645214445, flow_size = 0.026069MB
ratio = 3.8352795106555706, flow_size = 1.660846MB
ratio = 3.3636375277403747, flow_size = 0.032386MB
ratio = 3.0229397080884004, flow_size = 0.040838MB
ratio = 4.077262186745973, flow_size = 9.500649MB
ratio = 3.5624463354531555, flow_size = 1.592392MB
ratio = 3.7441907282572333, flow_size = 0.009991MB
ratio = 5.07096129886665, flow_size = 4.954559MB
ratio = 4.037159032120369, flow_size = 0.050534MB
ratio = 3.2521961626944655, flow_size = 0.490888MB
ratio = 2.6296449848680186, flow_size = 7.601575MB
ratio = 4.31069591790122, flow_size = 0.038786MB
ratio = 4.305828667971291, flow_size = 0.009766MB
ratio = 3.3650792137805894, flow_size = 1.688047MB
ratio = 3.048588306681896, flow_size = 1.289837MB
ratio = 3.191912498471563, flow_size = 0.019144MB
ratio = 3.6713660248640925, flow_size = 0.008172MB
ratio = 4.145508696312275, flow_size = 0.021922MB
ratio = 3.5084991401148753, flow_size = 0.005041MB
ratio = 4.1335746007800935, flow_size = 0.763801MB
ratio = 4.668481774978761, flow_size = 0.264152MB
ratio = 3.0585262234809996, flow_size = 4.027466MB
ratio = 2.519612870026211, flow_size = 0.81063MB
ratio = 2.03627239932701, flow_size = 0.910931MB
ratio = 2.7244123329576557, flow_size = 2.739735MB
ratio = 3.318138055552524, flow_size = 7.596523MB
ratio = 4.199428856549512, flow_size = 0.019125MB
ratio = 2.0698807077866963, flow_size = 0.050641MB
ratio = 3.5207057979217544, flow_size = 2.316172MB
ratio = 2.220429600751066, flow_size = 0.577166MB
ratio = 4.16400112898005, flow_size = 0.009579MB
ratio = 2.624253603607637, flow_size = 5.239843MB
ratio = 2.9411608574156642, flow_size = 1.539462MB
ratio = 3.272273713910413, flow_size = 0.072889MB
ratio = 5.813716080191767, flow_size = 0.039529MB
ratio = 2.497524813243943, flow_size = 0.069228MB
ratio = 3.5597885708586814, flow_size = 0.002694MB
ratio = 4.358397905152355, flow_size = 0.066998MB
ratio = 3.8157865635595645, flow_size = 0.003535MB
ratio = 2.4396350916402385, flow_size = 0.048698MB
ratio = 6.488442077361568, flow_size = 0.027977MB
ratio = 4.601128992685886, flow_size = 0.028446MB
ratio = 6.718337143874156, flow_size = 0.120468MB
ratio = 2.253306842599691, flow_size = 0.074172MB
ratio = 2.759112868385793, flow_size = 1.534588MB
ratio = 2.7293648546109193, flow_size = 0.011343MB
ratio = 3.0158777120315583, flow_size = 0.017893MB
ratio = 3.997133359194316, flow_size = 0.068757MB
ratio = 5.338600640799825, flow_size = 0.010989MB
ratio = 3.901218115861304, flow_size = 2.163542MB
ratio = 2.6481658263924746, flow_size = 0.005502MB
ratio = 3.1512371058739115, flow_size = 6.70734MB
ratio = 3.266774927565561, flow_size = 0.005783MB
