ratio = 63.43811002661934, flow_size = 0.008275MB
ratio = 2.359505013868146, flow_size = 0.006258MB
ratio = 96.54191777152806, flow_size = 0.078884MB
ratio = 138.04973251436496, flow_size = 0.021123MB
ratio = 323.401244813278, flow_size = 0.015738MB
ratio = 11.032992516074628, flow_size = 0.240199MB
ratio = 2.60755751044528, flow_size = 8.884662MB
ratio = 40.539524085896694, flow_size = 0.003507MB
ratio = 20.18529477445288, flow_size = 0.11438MB
ratio = 3.3469119971371484, flow_size = 1.900573MB
ratio = 18.521841641139886, flow_size = 1.828156MB
ratio = 40.057307249712316, flow_size = 0.002178MB
ratio = 155.16954054956057, flow_size = 0.007983MB
ratio = 57.141484905387834, flow_size = 0.065918MB
ratio = 39.66571574866506, flow_size = 0.063818MB
ratio = 146.83439227659048, flow_size = 0.045283MB
ratio = 12.721922607566036, flow_size = 0.506739MB
ratio = 6.805214381420277, flow_size = 0.114383MB
ratio = 2.7428062559136195, flow_size = 0.115028MB
ratio = 5.223842461477399, flow_size = 5.670568MB
ratio = 4.272493939826037, flow_size = 0.737207MB
ratio = 16.495147772386414, flow_size = 0.008923MB
ratio = 7.604073840651932, flow_size = 3.205519MB
ratio = 136.30490510229234, flow_size = 0.094292MB
ratio = 21.016639137440087, flow_size = 1.077802MB
ratio = 183.59880783996766, flow_size = 0.018815MB
ratio = 2.9832565443817045, flow_size = 13.378481MB
ratio = 2.0630481387643735, flow_size = 0.562355MB
ratio = 2.4895951857189815, flow_size = 1.787634MB
ratio = 92.4955305091333, flow_size = 0.011758MB
ratio = 266.9947851279575, flow_size = 0.02424MB
ratio = 2.6570674346052314, flow_size = 0.198895MB
ratio = 120.09887543252596, flow_size = 0.038631MB
ratio = 186.60425909494234, flow_size = 0.021733MB
ratio = 42.320894193088705, flow_size = 0.084273MB
ratio = 19.114449775820027, flow_size = 0.962169MB
ratio = 160.9386289445049, flow_size = 0.010354MB
ratio = 6.256859139389482, flow_size = 0.062917MB
ratio = 16.012184446072215, flow_size = 0.568354MB
ratio = 196.82240775097918, flow_size = 0.016466MB
ratio = 77.46986074593437, flow_size = 0.023211MB
ratio = 148.97387199473047, flow_size = 0.009386MB
ratio = 176.7828463526138, flow_size = 0.020774MB
ratio = 87.60042938931298, flow_size = 0.000758MB
ratio = 141.01453396524488, flow_size = 0.051757MB
ratio = 43.01422378759144, flow_size = 0.076856MB
ratio = 12.464937646846195, flow_size = 0.032747MB
ratio = 6.8461744085734075, flow_size = 4.808983MB
ratio = 2.7241242080652097, flow_size = 3.257511MB
ratio = 11.574085554866707, flow_size = 0.016162MB
ratio = 158.3615631691649, flow_size = 0.012128MB
ratio = 5.4008681309590285, flow_size = 4.514381MB
ratio = 12.400910576165069, flow_size = 1.988706MB
ratio = 54.05152997383688, flow_size = 0.005607MB
ratio = 113.0130393096836, flow_size = 0.025127MB
ratio = 18.84410387398893, flow_size = 0.040852MB
ratio = 2.2836252239754926, flow_size = 0.107085MB
ratio = 106.02689606741573, flow_size = 0.070602MB
ratio = 183.9199508764095, flow_size = 0.00758MB
ratio = 181.32468959455005, flow_size = 0.009285MB
ratio = 32.679190751445084, flow_size = 0.008128MB
ratio = 88.49168812924374, flow_size = 0.002631MB
ratio = 9.293875308981049, flow_size = 0.037212MB
ratio = 76.11743981209631, flow_size = 0.04295MB
ratio = 87.61843772930425, flow_size = 0.079558MB
ratio = 15.554373626373627, flow_size = 0.036413MB
ratio = 4.591755023355824, flow_size = 0.061621MB
ratio = 42.0105223880597, flow_size = 0.060572MB
ratio = 15.967861637949742, flow_size = 0.450386MB
ratio = 2.0369724154721243, flow_size = 6.417291MB
ratio = 3.7296865445539384, flow_size = 3.782384MB
ratio = 2.6631013149113474, flow_size = 24.417399MB
ratio = 252.60614297363415, flow_size = 0.032386MB
ratio = 57.75591112922952, flow_size = 0.134821MB
ratio = 4.900305810397554, flow_size = 0.037249MB
ratio = 69.86913859798094, flow_size = 0.027149MB
ratio = 15.39620277107864, flow_size = 0.909673MB
ratio = 34.90299800133244, flow_size = 0.079793MB
ratio = 310.24117322545055, flow_size = 0.030464MB
ratio = 482.9437641723356, flow_size = 0.005967MB
ratio = 101.08966934429291, flow_size = 0.028445MB
ratio = 94.88222571765631, flow_size = 0.022046MB
ratio = 41.23741399563685, flow_size = 0.185026MB
ratio = 74.69548872180451, flow_size = 0.046706MB
ratio = 5.211605904901721, flow_size = 0.193214MB
ratio = 54.61530032189576, flow_size = 0.074921MB
ratio = 19.344702743902438, flow_size = 0.075557MB
ratio = 9.202910052910052, flow_size = 1.388581MB
ratio = 313.033329351332, flow_size = 0.000596MB
ratio = 2.8873971752289305, flow_size = 2.513612MB
ratio = 101.04235709383273, flow_size = 0.144027MB
ratio = 311.51451459390864, flow_size = 0.051109MB
ratio = 19.75337441314554, flow_size = 0.144649MB
ratio = 281.89440350069094, flow_size = 0.004314MB
ratio = 51.60982972136223, flow_size = 0.054866MB
ratio = 358.9097206949637, flow_size = 0.009206MB
ratio = 2.723944473366401, flow_size = 4.414254MB
ratio = 2.0865823655551696, flow_size = 3.348886MB
ratio = 349.0026078047872, flow_size = 0.028823MB
ratio = 142.0549943883277, flow_size = 0.007003MB
ratio = 122.75405186385737, flow_size = 0.018491MB
ratio = 8.2059050262103, flow_size = 1.293243MB
ratio = 8.76444783520885, flow_size = 0.025835MB
ratio = 3.129563858502628, flow_size = 0.15263MB
ratio = 301.9156200247656, flow_size = 0.017806MB
ratio = 136.43813015582035, flow_size = 0.004871MB
ratio = 96.60875060768109, flow_size = 0.02342MB
ratio = 397.87872763419483, flow_size = 0.002749MB
ratio = 24.45701545162294, flow_size = 0.015781MB
ratio = 11.075989398229023, flow_size = 1.088808MB
ratio = 124.11950216221918, flow_size = 0.013848MB
ratio = 3.9874131603950387, flow_size = 8.110897MB
ratio = 69.93103043120668, flow_size = 0.00225MB
ratio = 262.6285981745846, flow_size = 0.002689MB
ratio = 8.4530101331214, flow_size = 0.070423MB
ratio = 35.360395584176636, flow_size = 0.678658MB
ratio = 11.259352551543987, flow_size = 0.028596MB
ratio = 19.936124082721815, flow_size = 1.18803MB
ratio = 9.218482905982906, flow_size = 0.05702MB
ratio = 42.74992606831288, flow_size = 0.223406MB
ratio = 114.67676965193586, flow_size = 0.022753MB
ratio = 79.27418803418803, flow_size = 0.005402MB
ratio = 56.76165476690466, flow_size = 0.014341MB
ratio = 83.92585203657522, flow_size = 0.044219MB
ratio = 31.728275401069517, flow_size = 0.007818MB
ratio = 3.0088057587675503, flow_size = 9.265834MB
ratio = 140.43021701121054, flow_size = 0.016733MB
ratio = 219.2396989288816, flow_size = 0.024342MB
ratio = 427.3590847913863, flow_size = 0.033681MB
ratio = 88.62876113632544, flow_size = 0.042667MB
ratio = 34.47836192584394, flow_size = 0.008515MB
ratio = 42.28598981882568, flow_size = 0.655198MB
